0,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
254,361,0,3,"Skoog, Mr. Wilhelm",male,40,1,4,347088,27.9,,S
255,362,0,2,"del Carlo, Mr. Sebastiano",male,29,1,0,SC/PARIS 2167,27.7208,,C
256,363,0,3,"Barbara, Mrs. (Catherine David)",female,45,0,1,2691,14.4542,,C
257,365,0,3,"O'Brien, Mr. Thomas",male,,1,0,370365,15.5,,Q
258,366,0,3,"Adahl, Mr. Mauritz Nils Martin",male,30,0,0,C 7076,7.25,,S
259,367,1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60,1,0,110813,75.25,D37,C
260,368,1,3,"Moussa, Mrs. (Mantoura Boulos)",female,,0,0,2626,7.2292,,C
261,369,1,3,"Jermyn, Miss. Annie",female,,0,0,14313,7.75,,Q
262,370,1,1,"Aubart, Mme. Leontine Pauline",female,24,0,0,PC 17477,69.3,B35,C
263,371,1,1,"Harder, Mr. George Achilles",male,25,1,0,11765,55.4417,E50,C
264,372,0,3,"Wiklund, Mr. Jakob Alfred",male,18,1,0,3101267,6.4958,,S
265,374,0,1,"Ringhini, Mr. Sante",male,22,0,0,PC 17760,135.6333,,C
266,375,0,3,"Palsson, Miss. Stina Viola",female,3,3,1,349909,21.075,,S
267,376,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,1,0,PC 17604,82.1708,,C
268,377,1,3,"Landergren, Miss. Aurora Adelia",female,22,0,0,C 7077,7.25,,S
269,378,0,1,"Widener, Mr. Harry Elkins",male,27,0,2,113503,211.5,C82,C
270,379,0,3,"Betros, Mr. Tannous",male,20,0,0,2648,4.0125,,C
271,380,0,3,"Gustafsson, Mr. Karl Gideon",male,19,0,0,347069,7.775,,S
272,381,1,1,"Bidois, Miss. Rosalie",female,42,0,0,PC 17757,227.525,,C
273,382,1,3,"Nakid, Miss. Maria (""Mary"")",female,1,0,2,2653,15.7417,,C
274,383,0,3,"Tikkanen, Mr. Juho",male,32,0,0,STON/O 2. 3101293,7.925,,S
275,384,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35,1,0,113789,52,,S
276,385,0,3,"Plotcharsky, Mr. Vasil",male,,0,0,349227,7.8958,,S
277,386,0,2,"Davies, Mr. Charles Henry",male,18,0,0,S.O.C. 14879,73.5,,S
278,387,0,3,"Goodwin, Master. Sidney Leonard",male,1,5,2,CA 2144,46.9,,S
279,388,1,2,"Buss, Miss. Kate",female,36,0,0,27849,13,,S
280,389,0,3,"Sadlier, Mr. Matthew",male,,0,0,367655,7.7292,,Q
281,390,1,2,"Lehmann, Miss. Bertha",female,17,0,0,SC 1748,12,,C
282,393,0,3,"Gustafsson, Mr. Johan Birger",male,28,2,0,3101277,7.925,,S
283,394,1,1,"Newell, Miss. Marjorie",female,23,1,0,35273,113.275,D36,C
284,395,1,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24,0,2,PP 9549,16.7,G6,S
285,396,0,3,"Johansson, Mr. Erik",male,22,0,0,350052,7.7958,,S
286,398,0,2,"McKane, Mr. Peter David",male,46,0,0,28403,26,,S
287,399,0,2,"Pain, Dr. Alfred",male,23,0,0,244278,10.5,,S
288,401,1,3,"Niskanen, Mr. Juha",male,39,0,0,STON/O 2. 3101289,7.925,,S
289,402,0,3,"Adams, Mr. John",male,26,0,0,341826,8.05,,S
290,403,0,3,"Jussila, Miss. Mari Aina",female,21,1,0,4137,9.825,,S
291,404,0,3,"Hakkarainen, Mr. Pekka Pietari",male,28,1,0,STON/O2. 3101279,15.85,,S
292,405,0,3,"Oreskovic, Miss. Marija",female,20,0,0,315096,8.6625,,S
293,406,0,2,"Gale, Mr. Shadrach",male,34,1,0,28664,21,,S
294,407,0,3,"Widegren, Mr. Carl/Charles Peter",male,51,0,0,347064,7.75,,S
295,410,0,3,"Lefebre, Miss. Ida",female,,3,1,4133,25.4667,,S
296,412,0,3,"Hart, Mr. Henry",male,,0,0,394140,6.8583,,Q
297,413,1,1,"Minahan, Miss. Daisy E",female,33,1,0,19928,90,C78,Q
